zillow_addresses_stPete,current_price_stPete
"2055 28th Ave N, Saint Petersburg, FL 33713",370000
"156 Americana Ct NE #226, Saint Petersburg, FL 33702",129000
"4718 Paradise Way S, Saint Petersburg, FL 33705",1149999
"631 Mount Madison Ave NE #654, Saint Petersburg, FL 33702",235000
"2800 Central Ave PENTHOUSE 2, Saint Petersburg, FL 33712",1200000
"777 3rd Ave N #1605, Saint Petersburg, FL 33701",2500000
"1162 37th Ave N, Saint Petersburg, FL 33704",175000
"777 3rd Ave N #1604, Saint Petersburg, FL 33701",2000000
"313 Mount Piney Ave NE #296, Saint Petersburg, FL 33702",79000
"777 3rd Ave N #1608, Saint Petersburg, FL 33701",2000000
"7214 Mount Fairfield Rd NE #527, Saint Petersburg, FL 33702",75000
"2764 Grove Park Ave N, Saint Petersburg, FL 33714",99900
"4900 58th Ave S, Saint Petersburg, FL 33715",6500000
"7265 15th St N, Saint Petersburg, FL 33702",229900
"4125 Park St N #213, Saint Petersburg, FL 33709",67900
"3434 6th Ave N #E & W, Saint Petersburg, FL 33713",677000
"3BR 3 BA ; Residences 2005 - 3905 Plan, Residences 400 Central",1495000
"201 5th St S, Saint Petersburg, FL 33701",5000000
"3320 4th Ave S, Saint Petersburg, FL 33712",149000
"3009 Dartmouth Ave N, Saint Petersburg, FL 33713",345000
"7801 34th Ave N LOT 30, St Petersburg, FL 33710",29500
"424 8th St S #603, Saint Petersburg, FL 33701",669000
"400 Central Ave #4202, Saint Petersburg, FL 33701",4660000
"3830 Shore Acres Blvd NE, Saint Petersburg, FL 33703",3800000
"5685 54th Ave N, Kenneth City, FL 33709",1200000
"126 4th Ave NE #1402, Saint Petersburg, FL 33701",2049900
"6837 Americana Dr NE #103, Saint Petersburg, FL 33702",169000
"916 25th Ave N, Saint Petersburg, FL 33704",499000
"Upton Ct S, Saint Petersburg, FL 33712",99000
"925 13th Ave S, Saint Petersburg, FL 33705",149900
"2045 27th Ave N, Saint Petersburg, FL 33713",205000
"424 8th St S #304, Saint Petersburg, FL 33701",702000
"400 Central Ave #1206, Saint Petersburg, FL 33701",1030000
"545 4th Ave S #7, Saint Petersburg, FL 33701",1600000
"400 Central Ave #1408, Saint Petersburg, FL 33701",1095000
"3205 18th St N, Saint Petersburg, FL 33713",875000
"4710 21st St N, Saint Petersburg, FL 33714",189000
"740 21st St S, Saint Petersburg, FL 33712",250000
"718 4th Ave N, Saint Petersburg, FL 33701",2000000
"7th Ave S, Saint Petersburg, FL 33712",349000
"3119 Oakley Ave S, Saint Petersburg, FL 33712",178000
"17 Franklin Ct S UNIT B, St Petersburg, FL 33711",1559000
"Dawson Ave NE, Saint Petersburg, FL 33703",249900
"648 58th Ave NE, Saint Petersburg, FL 33703",299000
"1717 Massachusetts Ave NE, Saint Petersburg, FL 33703",525000
"(undisclosed Address), Saint Petersburg, FL 33713",99900
"126 4th Ave NE #1601, Saint Petersburg, FL 33701",3999900
"22 Franklin Ct S #C, Saint Petersburg, FL 33711",1299000
"2 BR 2.5 BA ; Residences 809-3909 Plan, Residences 400 Central",1000000
"2010 Seminole Blvd S, Saint Petersburg, FL 33705",160000
"57XX 54th Ave N, Saint Petersburg, FL 33709",220000
"44 Bayview Ct S #A, St Petersburg, FL 33711",4400000
"126 4th Ave NE #701, Saint Petersburg, FL 33701",1949900
"000 26th Ave S, Saint Petersburg, FL 33711",165000
"5327 38th Ave N, Saint Petersburg, FL 33710",180000
"49th St S, Saint Petersburg, FL 33707",275000
"400 Central Ave #3709, Saint Petersburg, FL 33701",1370000
